"genus","p","q"
"Lactobacillus",0.18144920772142,0.858913372758915
"Gemmiger",0.76953125,1
"Candidatus_Cibionibacter",0.812703686128436,1
"Anaerobutyricum",0.343252562436031,0.964677835185286
"Clostridiaceae_unclassified",0.635586122278767,1
"Sutterella",0.905695442034309,1
"Adlercreutzia",0.529368106184798,1
"Anaerotignum",0.554113130069446,1
"Romboutsia",0.672603817441517,1
"GGB9502",0.422678074170635,0.964677835185286
"Ligilactobacillus",0.583882420770365,1
"Gordonibacter",0.855132140584706,1
"Parasutterella",0.583882420770365,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
"Streptococcus",0.431640625,0.964677835185286
"Phocaeicola",0.375,0.964677835185286
"Faecalibacterium",0.322265625,0.964677835185286
"Faecalicatena",0.41849223344682,0.964677835185286
"Anaerostipes",0.343252562436031,0.964677835185286
"Lacticaseibacillus",0.18144920772142,0.858913372758915
"Faecalibacillus",0.855132140584706,1
"Oscillibacter",0.343252562436031,0.964677835185286
"Agathobaculum",0.845703125,1
"Roseburia",0.441208519505878,0.964677835185286
"Catenibacterium",0.422678074170635,0.964677835185286
"Bilophila",0.441208519505878,0.964677835185286
"Brotolimicola",0.799846105662473,1
"GGB3740",1,1
"Veillonella",0.422678074170635,0.964677835185286
"Collinsella",0.635586122278767,1
"GGB51441",0.142213241936393,0.858913372758915
"Acidaminococcus",0.361310428526179,0.964677835185286
"GGB3433",0.201242620957724,0.858913372758915
"Bittarella",0.789268026134281,1
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
"Fusicatenibacter",0.845703125,1
"Holdemanella",1,1
"Lachnospiraceae_unclassified",0.905695442034309,1
"Mediterraneibacter",0.921875,1
"Alistipes",0.905695442034309,1
"Blautia",0.76953125,1
"Oscillospiraceae_unclassified",0.343252562436031,0.964677835185286
"Oliverpabstia",0.944182513250483,1
"Bifidobacterium",0.4921875,1
"Coprococcus",0.192517572436471,0.858913372758915
"Intestinibacter",0.208412803684149,0.858913372758915
"Lachnospira",0.352542137499713,0.964677835185286
"Clostridium",0.10546875,0.858913372758915
"Odoribacter",0.799846105662473,1
"Eubacteriales_unclassified",0.845703125,1
"Parabacteroides",0.845703125,1
"Eubacterium",1,1
"Haemophilus",0.422678074170635,0.964677835185286
"Escherichia",0.787406490666269,1
"Lacrimispora",0.672603817441517,1
"GGB9730",0.401678166469773,0.964677835185286
"Wujia",0.18144920772142,0.858913372758915
"GGB9759",1,1
"GGB51647",1,1
"Segatella",0.799846105662473,1
"Vescimonas",0.47719661998877,1
"GGB9365",0.177529852412153,0.858913372758915
"Dialister",0.833634883024682,1
"GGB4552",0.422678074170635,0.964677835185286
"GGB3363",0.100348246462291,0.858913372758915
"Eggerthella",0.529368106184798,1
"GGB9708",1,1
"GGB3109",0.787406490666269,1
"Megamonas",0.18144920772142,0.858913372758915
"Ruthenibacterium",0.0800579199844347,0.858913372758915
"Gemella",0.0590582290905367,0.858913372758915
"Bacteria_unclassified",0.529368106184798,1
"Klebsiella",1,1
"GGB34797",0.201242620957724,0.858913372758915
"Actinomyces",0.204893893816379,0.858913372758915
"GGB9715",0.446872820710831,0.964677835185286
"Intestinimonas",0.789268026134281,1
"Slackia",0.787406490666269,1
"Megasphaera",0.674986713970489,1
"Candidatus_Saccharibacteria_unclassified",0.18144920772142,0.858913372758915
"Mogibacterium",0.674986713970489,1
"Senegalimassilia",1,1
"Parvimonas",0.18144920772142,0.858913372758915
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
"Dorea",0.76953125,1
"Ruminococcus",0.0580240199462214,0.858913372758915
"Barnesiella",0.422678074170635,0.964677835185286
"Lactococcus",0.0590582290905367,0.858913372758915
"Flavonifractor",0.833935414088552,1
"Bacteroides",0.76953125,1
"GGB9699",0.41849223344682,0.964677835185286
"GGB3588",0.583882420770365,1
"GGB3593",0.789268026134281,1
"Jutongia",0.789268026134281,1
"Lawsonibacter",1,1
"GGB9616",0.18144920772142,0.858913372758915
"Butyricimonas",0.583882420770365,1
"GGB3304",0.583882420770365,1
"Lentihominibacter",0.672603817441517,1
"GGB9614",0.201242620957724,0.858913372758915
"Evtepia",0.674986713970489,1
"GGB9760",0.362726506485098,0.964677835185286
"Eubacteriaceae_unclassified",1,1
"GGB9707",1,1
"Enterococcus",1,1
"Dysosmobacter",1,1
"GGB9627",1,1
"Turicibacter",0.201242620957724,0.858913372758915
"Allisonella",0.105645429201877,0.858913372758915
"GGB9512",0.361310428526179,0.964677835185286
"GGB9522",0.583882420770365,1
"Holdemania",0.0591720678258594,0.858913372758915
"GGB9491",0.422678074170635,0.964677835185286
"GGB45432",0.787406490666269,1
"Erysipelatoclostridium",0.589638551626567,1
"Granulicatella",0.0590582290905367,0.858913372758915
"Rothia",0.833935414088552,1
"Simiaoa",0.422678074170635,0.964677835185286
"GGB3653",0.280712665268496,0.964677835185286
"GGB1266",0.18144920772142,0.858913372758915
"GGB4571",0.789268026134281,1
"GGB51959",0.789268026134281,1
"Hydrogenoanaerobacterium",0.799846105662473,1
"Enterocloster",1,1
"Actinobaculum",0.855132140584706,1
"GGB2982",0.18144920772142,0.858913372758915
"GGB9719",0.18144920772142,0.858913372758915
"Wansuia",0.401678166469773,0.964677835185286
"Anaeromassilibacillus",0.789268026134281,1
"Christensenella",0.422678074170635,0.964677835185286
"Clostridia_unclassified",0.100348246462291,0.858913372758915
"Solobacterium",0.100348246462291,0.858913372758915
"Akkermansia",0.18144920772142,0.858913372758915
"Mitsuokella",0.789268026134281,1
"Phascolarctobacterium",0.280712665268496,0.964677835185286
"GGB9618",1,1
"Schaalia",0.0243902414330541,0.858913372758915
"Catenibacillus",0.422678074170635,0.964677835185286
"Eubacteriales_Family_XIII_Incertae_Sedis_unclassified",0.18144920772142,0.858913372758915
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
